Local ID,Issue Date,Maturity,Coupon,Wtd. Ave. Yield
RTB 10-04,08/15/2013,08/15/23,3.25,4.9495
RTB 03-11,03/09/2021,03/09/2024,2.375,5.3408
RTB 05-12,03/12/2019,03/12/2024,6.25,5.3169
RTB 05-13,08/12/2020,08/12/2025,2.625,5.5426
RTB 10-05,09/20/2016,09/20/26,3.5,5.64
RTB 15-01,10/20/2011,10/20/26,6.25,5.7563
RTB 15-02,03/01/2012,03/01/2027,5.375,5.7
RTB 05-15,03/04/2022,03/04/2027,4.875,5.95
RTB 05-14,12/02/2021,06/02/2027,4.625,6.2
RTB 05-16,09/07/2022,03/07/2028,5.75,5.9674
RTB 20-01,03/01/2012,03/01/2032,5.875,6.2
RTB 25-01,10/24/2012,10/24/2037,6.125,6.4935
